time_tag, T, EM
2017-09-06 11:56:50, 28.7313, 7.13739
2017-09-06 11:56:52, 28.7804, 7.37779
2017-09-06 11:56:54, 28.8395, 7.64456
2017-09-06 11:56:56, 28.8319, 7.9529
2017-09-06 11:56:58, 28.8541, 8.21507
2017-09-06 11:57:00, 28.8511, 8.46164
2017-09-06 11:57:02, 28.8697, 8.79359
2017-09-06 11:57:04, 28.8654, 9.1649
2017-09-06 11:57:06, 28.829, 9.4315
2017-09-06 11:57:08, 28.7605, 9.74713
2017-09-06 11:57:10, 28.7522, 10.0252
2017-09-06 11:57:12, 28.7608, 10.2695
2017-09-06 11:57:14, 28.7496, 10.5631
2017-09-06 11:57:16, 28.7442, 10.9361
2017-09-06 11:57:18, 28.7536, 11.3515
2017-09-06 11:57:20, 28.7766, 11.6769
2017-09-06 11:57:22, 28.8, 11.9482
2017-09-06 11:57:24, 28.7523, 12.3113
2017-09-06 11:57:27, 28.7152, 12.765
2017-09-06 11:57:29, 28.6634, 13.2364
2017-09-06 11:57:31, 28.6845, 13.5666
2017-09-06 11:57:33, 28.6665, 13.8115
2017-09-06 11:57:35, 28.602, 14.0855
2017-09-06 11:57:37, 28.497, 14.4284
2017-09-06 11:57:39, 28.425, 14.7662
2017-09-06 11:57:41, 28.3613, 15.1195
2017-09-06 11:57:43, 28.2948, 15.3694
2017-09-06 11:57:45, 28.1907, 15.7003
2017-09-06 11:57:47, 28.1371, 15.9824
2017-09-06 11:57:49, 28.0591, 16.3942
2017-09-06 11:57:51, 28.0256, 16.7758
2017-09-06 11:57:53, 27.9491, 17.0768
2017-09-06 11:57:55, 27.8664, 17.4473
2017-09-06 11:57:57, 27.8093, 17.6882
2017-09-06 11:57:59, 27.7131, 17.961
2017-09-06 11:58:01, 27.6199, 18.2391
2017-09-06 11:58:03, 27.5304, 18.4749
2017-09-06 11:58:05, 27.4568, 18.7092
2017-09-06 11:58:07, 27.4072, 18.9021
2017-09-06 11:58:10, 27.3242, 19.0882
2017-09-06 11:58:12, 27.2695, 19.2787
2017-09-06 11:58:14, 27.2163, 19.5054
2017-09-06 11:58:16, 27.151, 19.7329
2017-09-06 11:58:18, 27.0559, 19.9832
2017-09-06 11:58:20, 26.9849, 20.1794
2017-09-06 11:58:22, 26.9376, 20.3144
2017-09-06 11:58:24, 26.89, 20.4986
2017-09-06 11:58:26, 26.8301, 20.721
2017-09-06 11:58:28, 26.7603, 20.9862
2017-09-06 11:58:30, 26.7169, 21.2004
2017-09-06 11:58:32, 26.6991, 21.3763
2017-09-06 11:58:34, 26.6706, 21.54
2017-09-06 11:58:36, 26.6247, 21.6953
2017-09-06 11:58:38, 26.5544, 21.8042
2017-09-06 11:58:40, 26.4991, 21.8921
2017-09-06 11:58:42, 26.4734, 22.0491
2017-09-06 11:58:44, 26.4772, 22.2196
2017-09-06 11:58:46, 26.4884, 22.4101
2017-09-06 11:58:48, 26.4743, 22.5729
2017-09-06 11:58:50, 26.415, 22.6588
2017-09-06 11:58:53, 26.3529, 22.7274
2017-09-06 11:58:55, 26.3247, 22.813
2017-09-06 11:58:57, 26.376, 22.9483
2017-09-06 11:58:59, 26.4353, 23.1587
2017-09-06 11:59:01, 26.4532, 23.3082
2017-09-06 11:59:03, 26.3948, 23.4065
2017-09-06 11:59:05, 26.3396, 23.4787
2017-09-06 11:59:07, 26.3347, 23.5748
2017-09-06 11:59:09, 26.317, 23.7348
2017-09-06 11:59:11, 26.3018, 23.825
2017-09-06 11:59:13, 26.2667, 23.8924
2017-09-06 11:59:15, 26.2389, 23.9483
2017-09-06 11:59:17, 26.226, 24.0255
2017-09-06 11:59:19, 26.2086, 24.1433
2017-09-06 11:59:21, 26.2126, 24.2707
2017-09-06 11:59:23, 26.2128, 24.4383
2017-09-06 11:59:25, 26.2164, 24.5664
2017-09-06 11:59:27, 26.2233, 24.667
2017-09-06 11:59:29, 26.2295, 24.8243
2017-09-06 11:59:31, 26.2387, 25.0101
2017-09-06 11:59:33, 26.2374, 25.1571
2017-09-06 11:59:36, 26.2401, 25.3538
2017-09-06 11:59:38, 26.2702, 25.5804
2017-09-06 11:59:40, 26.3009, 25.8058
2017-09-06 11:59:42, 26.3104, 26.0346
2017-09-06 11:59:44, 26.3125, 26.2313
2017-09-06 11:59:46, 26.304, 26.3119
2017-09-06 11:59:48, 26.2574, 26.3837
2017-09-06 11:59:50, 26.2318, 26.4402
2017-09-06 11:59:52, 26.2321, 26.5517
2017-09-06 11:59:54, 26.2498, 26.6873
2017-09-06 11:59:56, 26.2686, 26.8098
2017-09-06 11:59:58, 26.286, 26.9454
2017-09-06 12:00:00, 26.302, 27.0941
2017-09-06 12:00:02, 26.3218, 27.2035
